ever4cast_gauge_name,x,y,Station,EArea
EDEN_6,509613.3,2882916.5,EDEN_6,Big Cypress National Preserve
MO-216,483516,2845679,MO-216,Big Cypress National Preserve
Tamiami_Canal_40-Mile_Bend_to_Monroe,501948,2859226,Tamiami_Canal_40-Mile,Big Cypress National Preserve
Tamiami_Canal_Monroe_to_Carnestown,473771,2863234,Tamiami_Canal_Monroe,Big Cypress National Preserve
BARW4,465270,2875163,BARW4+,Big Cypress National Preserve
BARW6A,465524.2,2881398.5,BARW6A+,Big Cypress National Preserve
BCA1,467985.6,2902579.2,BCA1+,Big Cypress National Preserve
BCA10,497798.6,2843968.9,BCA10+,Big Cypress National Preserve
BCA11,489974.4,2852339.5,BCA11+,Big Cypress National Preserve
BCA12,491340.7,2896882.1,BCA12+,Big Cypress National Preserve
BCA13,494639,2885990.3,BCA13+,Big Cypress National Preserve
BCA14,469987.9,2880640.3,BCA14+,Big Cypress National Preserve
BCA15,497325.3,2880093.3,BCA15+,Big Cypress National Preserve
BCA16,484432.6,2881978.7,BCA16+,Big Cypress National Preserve
BCA17,483203.5,2898407,BCA17+,Big Cypress National Preserve
BCA18,501686.1,2898580.7,BCA18+,Big Cypress National Preserve
BCA19,479719.2,2852793.3,BCA19+,Big Cypress National Preserve
BCA2,471164.5,2897434.3,BCA2+,Big Cypress National Preserve
BCA20,506542.1,2843182.1,BCA20+,Big Cypress National Preserve
BCA3,477845.6,2893052.8,BCA3+,Big Cypress National Preserve
BCA4,489599.3,2870950.6,BCA4+,Big Cypress National Preserve
BCA5,507368.8,2872179,BCA5+,Big Cypress National Preserve
BCA9,508801,2851139,BCA9+,Big Cypress National Preserve
L28_GAP,501659.4,2889475.3,L28GAP+,Big Cypress National Preserve
LOOP1_T,509241.3,2849228.3,LOOP1+T,Big Cypress National Preserve
LOOP2_H,504624.7,2847630.7,LOOP2+H,Big Cypress National Preserve
LOOP2_T,504601.4,2847616.9,LOOP2+T,Big Cypress National Preserve
S344_T,516353.5,2866724.2,S344+T,Big Cypress National Preserve
S18C_T,547801.3,2800571.6,S18C_DN,C111 Canal
A13,528887.4,2820049.8,A13,Everglades National Park
CP,529818.8,2790185.1,CP,Everglades National Park
CR2,538016.1,2820226.4,CR2,Everglades National Park
CR3,533884.8,2820000,CR3,Everglades National Park
CT27R,551472.3,2798370.4,CT27R,Everglades National Park
CT50R,548223.8,2799681.1,CT50R,Everglades National Park
CV5NR,551583.5,2798524.7,CV5NR,Everglades National Park
CY2,531919.1,2801262.9,CY2,Everglades National Park
CY3,525097.7,2801279.3,CY3,Everglades National Park
DO1,531097.1,2806182.4,DO1,Everglades National Park
DO2,525727.9,2807985.9,DO2,Everglades National Park
E112,539240.7,2811955.6,E112,Everglades National Park
E146,533588.9,2793085.2,E146,Everglades National Park
EP1R,555056.9,2796891.8,EP1R,Everglades National Park
EVER6,549180.9,2797931.3,EVER6,Everglades National Park
EVER7,546072.4,2799212.2,EVER7,Everglades National Park
L31W,541247.5,2813407.3,L31W,Everglades National Park
NP201,528138.1,2844348.3,NP201,Everglades National Park
NP202,529238.3,2838291,NP202,Everglades National Park
NP203,526235.9,2833947.6,NP203,Everglades National Park
NP205,515267.3,2841220.6,NP205,Everglades National Park
NP206,532950.6,2825257.5,NP206,Everglades National Park
NP44,528120.5,2812973.6,NP44,Everglades National Park
NP46,520542.3,2800225.8,NP46,Everglades National Park
NP62,521834.9,2813515.6,NP62,Everglades National Park
NP67,535189.5,2801486.4,NP67,Everglades National Park
NP72,529861.8,2808701.8,NP72,Everglades National Park
NTS1,540940.4,2813375.6,NTS1,Everglades National Park
NTS10,539703.7,2815986.5,NTS10,Everglades National Park
NTS14,536337.7,2811117,NTS14,Everglades National Park
NTS18,543576.9,2818613.1,NTS18,Everglades National Park
OL,538956.7,2794206.9,OL,Everglades National Park
OT,503563.9,2829031.6,OT,Everglades National Park
P33,529891.5,2832971,P33,Everglades National Park
P34,505933.9,2832231.4,P34,Everglades National Park
P35,513620.7,2815873.2,P35,Everglades National Park
P36,520535,2823356.4,P36,Everglades National Park
P37,531371.1,2796463.3,P37,Everglades National Park
P38,516760.9,2805880.2,P38,Everglades National Park
R127,539626.9,2804113.2,R127,Everglades National Park
R3110,537585.7,2814411.6,R3110,Everglades National Park
RG1,539384.9,2829396.8,RG1,Everglades National Park
RG2,539593,2825091,RG2,Everglades National Park
RG3,542685,2825294,RG3,Everglades National Park
SP,520390.8,2808007.5,SP,Everglades National Park
SPARO,517147,2846252,SPARO,Everglades National Park
SR1,518962.8,2806906.2,SR1,Everglades National Park
TMC,512822.5,2832943.7,TMC,Everglades National Park
TSB,539496.7,2809627.6,TSB,Everglades National Park
TSH,537180.1,2799430.9,TSH,Everglades National Park
EDEN_3,506727.1,2821669,EDEN_3,Everglades National Park
EVER4,545619.8,2802535.1,EVER4,Everglades National Park
EVER5A,543033.1,2796697.6,EVER5A,Everglades National Park
G-1251,543705.7,2800572.4,G-1251,Everglades National Park
G-3272,546274.5,2838660,G-3272,Everglades National Park
G-3437,543483,2827804,G-3437,Everglades National Park
